title,link,label
Uruguay president-elect says Uruguay must respect diplomatic relationship with Venezuela,https://www.thestar.com.my/news/world/2024/11/28/uruguay-president-elect-says-uruguay-must-respect-diplomatic-relationship-with-venezuela,World & Politics
Unknown Title,https://www.thestar.com.my/news/world/2024/11/28/uruguay-president-elect-says-uruguay-must-respect-diplomatic-relationship-with-venezuela,World & Politics
Russia says Trump Ukraine aid cut would be 'death sentence' for Kyiv's military,https://www.thestar.com.my/news/world/2024/11/28/russia-says-trump-ukraine-aid-cut-would-be-039death-sentence039-for-kyiv039s-military,World & Politics
"2 killed, 25 injured as bus overturns in central Iran",https://www.thestar.com.my/news/world/2024/11/28/2-killed-25-injured-as-bus-overturns-in-central-iran,World & Politics
Soccer-Bayern apologise after fans display banner attacking PSG president,https://www.thestar.com.my/sport/football/2024/11/28/soccer-bayern-apologise-after-fans-display-banner-attacking-psg-president,World & Politics
Verdict due next March in Marine Le Pen's EU graft charges trial,https://www.thestar.com.my/news/world/2024/11/28/verdict-due-next-march-in-marine-le-pen039s-eu-graft-charges-trial,Crime
Soccer-Spain and Barca's Yamal wins 2024 Golden Boy award,https://www.thestar.com.my/sport/football/2024/11/28/soccer-spain-and-barca039s-yamal-wins-2024-golden-boy-award,Sports
African executives call for innovative health financing to address growing disease burden,https://www.thestar.com.my/news/world/2024/11/28/african-executives-call-for-innovative-health-financing-to-address-growing-disease-burden,Health and Family
Warehouse explosion kills 3 in SE Spain,https://www.thestar.com.my/news/world/2024/11/28/warehouse-explosion-kills-3-in-se-spain,World & Politics
Serbian court frees ex-minister detained over deadly roof collapse,https://www.thestar.com.my/news/world/2024/11/28/serbian-court-frees-ex-minister-detained-over-deadly-roof-collapse,World & Politics
Motor racing-Formula One to race on at Monza until 2031,https://www.thestar.com.my/sport/motorsport/2024/11/28/motor-racing-f1-to-race-at-monza-until-2031,World & Politics
South Africa warns travelers of rabies risks,https://www.thestar.com.my/news/world/2024/11/28/south-africa-warns-travelers-of-rabies-risks,World & Politics
"Boxing-Taiwan's Lin is eligible for event, says World Boxing",https://www.thestar.com.my/sport/boxing/2024/11/28/boxing-taiwan039s-lin-is-eligible-for-event-says-world-boxing,Sports
Americans not getting seasonal vaccines ahead of holidays: report,https://www.thestar.com.my/news/world/2024/11/28/americans-not-getting-seasonal-vaccines-ahead-of-holidays-report,Health and Family
"1 killed, 20 hospitalized after inhaling toxic fumes at pharma plant in India",https://www.thestar.com.my/news/world/2024/11/28/1-killed-20-hospitalized-after-inhaling-toxic-fumes-at-pharma-plant-in-india,Health and Family
"Trump cabinet picks targeted with bomb threats, 'swatting', spokesperson says",https://www.thestar.com.my/news/world/2024/11/28/trump-cabinet-nominees-targeted-with-bomb-threats-039swatting039-spokesperson-says,World & Politics
,,
China donates winter supplies to Palestinian children in West Bank camps,https://www.thestar.com.my/news/world/2024/11/28/china-donates-winter-supplies-to-palestinian-children-in-west-bank-camps,Business & Economy
Soccer-Suarez signs on for another season at Inter Miami,https://www.thestar.com.my/sport/football/2024/11/28/soccer-suarez-signs-on-for-another-season-at-inter-miami,Sports
"Latest forecast calls for snow, rain, cold in U.S. during Thanksgiving holiday",https://www.thestar.com.my/news/world/2024/11/28/latest-forecast-calls-for-snow-rain-cold-in-us-during-thanksgiving-holiday,Environment
Inter Miami re-sign striker Luis Suarez for 2025 season,https://www.thestar.com.my/sport/football/2024/11/28/inter-miami-re-sign-striker-luis-suarez-for-2025-season,Sports
"News Analysis - Is there a better, more holistic way to track the health of Singapore’s MRT system?",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/11/27/news-analysis---is-there-a-better-more-holistic-way-to-track-the-health-of-singapores-mrt-system,Health and Family
Malaysian Defence Ministry transfers care for 128 Palestinians to Ops Ihsan,https://www.thestar.com.my/news/nation/2024/11/27/malaysian-defence-ministry-transfers-care-for-128-palestinians-to-ops-ihsan,World & Politics
"91.6% of Facebook content removed linked to gambling, scams",https://www.thestar.com.my/news/nation/2024/11/27/916-of-facebook-content-removed-linked-to-gambling-scams,Crime
"'Horrifying and concerning': DNB's dealings a mystery when I became minister, says Fahmi",https://www.thestar.com.my/news/nation/2024/11/27/039horrifying-and-concerning039-dnb039s-dealings-a-mystery-when-i-became-minister-says-fahmi,World & Politics
Factbox-The Rohingya exodus and ICC prosecutor's pursuit of Myanmar's top general,https://www.thestar.com.my/news/world/2024/11/27/factbox-the-rohingya-exodus-and-icc-prosecutor039s-pursuit-of-myanmar039s-top-general,World & Politics
Motion to gazette Orang Asli villages supported at Selangor state assembly,https://www.thestar.com.my/metro/metro-news/2024/11/27/motion-to-gazette-orang-asli-villages-supported-at-selangor-state-assembly,World & Politics
Japanese prosecutor apologises to Hakamada after acquittal,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/11/27/japanese-prosecutor-apologises-to-hakamada-after-acquittal,Crime
"Soccer-FIFA launches 2022 World Cup legacy fund for initiatives with WHO, WTO and UNHCR",https://www.thestar.com.my/sport/football/2024/11/27/soccer-fifa-launches-2022-world-cup-legacy-fund-for-initiatives-with-who-wto-and-unhcr,Sports
Russia warns US against 'spiral of escalation' but says it will keep channels open,https://www.thestar.com.my/news/world/2024/11/27/russia-warns-us-against-039spiral-of-escalation039-but-says-it-will-keep-channels-open,World & Politics
"Premier League obtains Singapore court order to block 50 websites, apps showing matches illegally",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/11/27/premier-league-obtains-singapore-court-order-to-block-50-websites-apps-showing-matches-illegally,Sports
